Date,SourceIP,SourcePort,DestIP,DestPort,Protocol,Length
17:22.1,192.168.72.1,,192.168.72.140,,ICMP,40
17:22.1,192.168.72.140,,192.168.72.1,,ICMP,40
17:23.1,192.168.72.1,,192.168.72.140,,ICMP,40
17:23.1,192.168.72.140,,192.168.72.1,,ICMP,40
17:24.1,192.168.72.1,,192.168.72.140,,ICMP,40
17:24.1,192.168.72.140,,192.168.72.1,,ICMP,40
17:25.1,192.168.72.1,,192.168.72.140,,ICMP,40
17:25.1,192.168.72.140,,192.168.72.1,,ICMP,40
17:27.9,192.168.72.1,,192.168.72.140,,ICMP,40
17:27.9,192.168.72.140,,192.168.72.1,,ICMP,40
17:28.9,192.168.72.1,,192.168.72.140,,ICMP,40
17:28.9,192.168.72.140,,192.168.72.1,,ICMP,40
17:29.9,192.168.72.1,,192.168.72.140,,ICMP,40
17:29.9,192.168.72.140,,192.168.72.1,,ICMP,40
17:30.9,192.168.72.1,,192.168.72.140,,ICMP,40
17:30.9,192.168.72.140,,192.168.72.1,,ICMP,40
17:32.0,192.168.72.1,,192.168.72.140,,ICMP,40
17:32.0,192.168.72.140,,192.168.72.1,,ICMP,40
17:33.0,192.168.72.1,,192.168.72.140,,ICMP,40
17:33.0,192.168.72.140,,192.168.72.1,,ICMP,40
17:34.0,192.168.72.1,,192.168.72.140,,ICMP,40
17:34.0,192.168.72.140,,192.168.72.1,,ICMP,40
17:35.0,192.168.72.1,,192.168.72.140,,ICMP,40
17:35.0,192.168.72.140,,192.168.72.1,,ICMP,40
17:37.2,192.168.72.1,62028,239.255.255.250,1900,UDP,133
17:40.2,192.168.72.1,62028,239.255.255.250,1900,UDP,133
17:43.2,192.168.72.1,62028,239.255.255.250,1900,UDP,133
17:46.3,192.168.72.1,62028,239.255.255.250,1900,UDP,133
17:49.3,192.168.72.1,62028,239.255.255.250,1900,UDP,133
17:52.3,192.168.72.1,62028,239.255.255.250,1900,UDP,133
18:37.3,192.168.72.1,62028,239.255.255.250,1900,UDP,133
18:40.3,192.168.72.1,62028,239.255.255.250,1900,UDP,133
18:43.3,192.168.72.1,62028,239.255.255.250,1900,UDP,133
18:46.4,192.168.72.1,62028,239.255.255.250,1900,UDP,133
18:49.4,192.168.72.1,62028,239.255.255.250,1900,UDP,133
18:52.4,192.168.72.1,62028,239.255.255.250,1900,UDP,133
19:34.6,192.168.72.140,,192.168.1.7,,ICMP,64
19:34.6,192.168.1.7,,192.168.72.140,,ICMP,64
19:35.6,192.168.72.140,,192.168.1.7,,ICMP,64
19:35.6,192.168.1.7,,192.168.72.140,,ICMP,64
19:36.6,192.168.72.140,,192.168.1.7,,ICMP,64
19:36.6,192.168.1.7,,192.168.72.140,,ICMP,64
19:37.6,192.168.72.140,,192.168.1.7,,ICMP,64
19:37.6,192.168.1.7,,192.168.72.140,,ICMP,64
19:38.6,192.168.72.140,,192.168.1.7,,ICMP,64
19:38.6,192.168.1.7,,192.168.72.140,,ICMP,64
19:39.6,192.168.72.140,,192.168.1.7,,ICMP,64
19:39.6,192.168.1.7,,192.168.72.140,,ICMP,64
19:40.6,192.168.72.140,,192.168.1.7,,ICMP,64
19:40.6,192.168.1.7,,192.168.72.140,,ICMP,64
19:41.6,192.168.72.140,,192.168.1.7,,ICMP,64
19:41.6,192.168.1.7,,192.168.72.140,,ICMP,64
19:42.6,192.168.72.140,,192.168.1.7,,ICMP,64
19:42.6,192.168.1.7,,192.168.72.140,,ICMP,64
19:43.6,192.168.72.140,,192.168.1.7,,ICMP,64
19:43.6,192.168.1.7,,192.168.72.140,,ICMP,64
